DEPT,TWT,seismicamplitude,AI_Jason_inv,AI_Log,Int,D2,Quadr,TraceGrad,GradMag,Freq,Phase,CosPhase
1594.001,1163.313,-54.019,,8534.1,2.5131,299.9,1919.8,-540.0,1554.4,52.9,91.3348,-0.0175
1594.153,1163.405,-107.899,,8704.4,2.5018,319.0,1895.1,-521.9,1538.4,52.9,93.1075,-0.0465
1594.306,1163.498,-161.780,,8870.4,2.4904,338.2,1870.3,-503.9,1522.5,52.8,94.8801,-0.0756
1594.458,1163.590,-215.661,,9016.8,2.4790,357.4,1845.6,-485.8,1506.5,52.8,96.6528,-0.1047
1594.610,1163.682,-269.543,,9011.5,2.4677,376.5,1820.9,-467.7,1490.6,52.7,98.4255,-0.1338
1594.763,1163.775,-323.424,,8927.8,2.4563,395.7,1796.2,-449.6,1474.6,52.7,100.1982,-0.1628
1594.915,1163.867,-377.304,,8706.3,2.4449,414.8,1771.5,-431.5,1458.7,52.7,101.9709,-0.1919
1595.068,1163.960,-431.183,,8462.2,2.4336,434.0,1746.7,-413.4,1442.8,52.6,103.7436,-0.2210
1595.220,1164.052,-485.061,,8260.1,2.4222,453.1,1722.0,-395.3,1426.8,52.6,105.5163,-0.2500
1595.372,1164.145,-538.934,,8165.7,2.4109,472.3,1697.3,-377.2,1410.9,52.5,107.2889,-0.2791
1595.525,1164.237,-592.807,,8182.7,2.3995,491.5,1672.6,-359.1,1394.9,52.5,109.0614,-0.3082
1595.677,1164.330,-646.683,,8052.6,2.3881,510.6,1647.9,-341.0,1379.0,52.4,110.8341,-0.3372
1595.830,1164.422,-700.563,,7873.4,2.3768,529.8,1623.2,-322.9,1363.0,52.4,112.6069,-0.3663
1595.982,1164.515,-754.445,,7673.6,2.3654,548.9,1598.5,-304.8,1347.1,52.3,114.3797,-0.3954
1596.134,1164.607,-808.335,,7499.2,2.3541,568.1,1573.8,-286.7,1331.2,52.3,116.1526,-0.4245
1596.287,1164.699,-862.238,,7376.8,2.3428,587.2,1549.1,-268.6,1315.2,52.2,117.9258,-0.4535
1596.439,1164.792,-916.150,,7284.5,2.3315,606.4,1524.4,-250.5,1299.3,52.2,119.6992,-0.4826
1596.592,1164.884,-970.062,,7252.9,2.3201,625.6,1499.7,-232.4,1283.4,52.1,121.4726,-0.5117
1596.744,1164.977,-1022.422,,7268.0,2.3088,644.7,1475.0,-214.3,1267.5,52.1,123.2459,-0.5408
1596.896,1165.069,-1055.367,,7337.2,2.2917,649.7,1435.1,-199.0,1244.0,52.0,124.9527,-0.5611
1597.049,1165.162,-1079.259,,7408.5,2.2727,650.0,1390.2,-184.7,1218.0,51.9,126.6374,-0.5786
1597.201,1165.254,-1103.152,,7551.5,2.2536,650.2,1345.2,-170.3,1192.0,51.8,128.3222,-0.5960
1597.354,1165.347,-1127.042,,7684.8,2.2346,650.5,1300.3,-155.9,1165.9,51.7,130.0068,-0.6135
1597.506,1165.439,-1150.929,,7732.3,2.2156,650.7,1255.3,-141.5,1139.9,51.6,131.6914,-0.6309
1597.658,1165.532,-1174.819,,7706.0,2.1965,650.9,1210.4,-127.2,1113.9,51.5,133.3761,-0.6483
1597.811,1165.624,-1198.711,,7575.0,2.1775,651.2,1165.5,-112.8,1087.9,51.4,135.0608,-0.6658
1597.963,1165.717,-1222.611,,7483.8,2.1584,651.4,1120.5,-98.4,1061.9,51.3,136.7455,-0.6832
1598.116,1165.809,-1246.517,,7489.3,2.1394,651.7,1075.6,-84.1,1035.9,51.2,138.4305,-0.7007
1598.268,1165.901,-1270.428,,7560.7,2.1204,651.9,1030.6,-69.7,1009.9,51.1,140.1155,-0.7181
1598.420,1165.994,-1294.344,,7654.9,2.1014,652.2,985.7,-55.3,983.9,51.0,141.8006,-0.7355
1598.573,1166.086,-1318.264,,7724.3,2.0824,652.4,940.7,-41.0,957.9,50.9,143.4859,-0.7530
1598.725,1166.179,-1342.179,,7896.3,2.0633,652.7,895.8,-26.6,931.9,50.8,145.1711,-0.7704
1598.878,1166.271,-1366.080,,8034.8,2.0443,652.9,850.8,-12.2,905.9,50.7,146.8560,-0.7879
1599.030,1166.364,-1389.976,,8068.8,2.0253,653.1,805.9,2.2,879.8,50.6,148.5408,-0.8053
1599.182,1166.456,-1413.879,,8041.1,2.0062,653.4,760.9,16.5,853.8,50.5,150.2257,-0.8227
1599.335,1166.549,-1437.802,,8019.1,1.9872,653.6,715.9,30.9,827.8,50.4,151.9112,-0.8402
1599.487,1166.641,-1461.735,,7995.5,1.9682,653.9,671.0,45.3,801.8,50.3,153.5971,-0.8576
1599.640,1166.734,-1485.669,,7968.5,1.9492,654.2,626.0,59.6,775.8,50.2,155.2829,-0.8751
1599.792,1166.826,-1509.599,,7870.7,1.9301,654.4,581.0,74.0,749.8,50.1,156.9687,-0.8925
1599.944,1166.919,-1533.524,,7805.5,1.9111,654.7,536.0,88.4,723.8,50.0,158.6543,-0.9100
1600.097,1167.011,-1553.349,,7781.1,1.8927,653.7,491.1,102.3,700.4,49.8,158.3508,-0.9254
1600.249,1167.104,-1547.499,,7775.8,1.8785,644.2,446.3,112.5,696.1,49.7,143.3303,-0.9262
1600.402,1167.196,-1541.147,,7786.2,1.8644,634.6,401.5,122.8,691.8,49.5,128.3097,-0.9270
1600.554,1167.288,-1534.792,,7806.5,1.8503,625.1,356.8,133.0,687.4,49.4,113.2891,-0.9277
1600.706,1167.381,-1528.436,,7840.2,1.8362,615.5,312.0,143.3,683.1,49.2,98.2686,-0.9285
1600.859,1167.473,-1522.077,,7914.1,1.8220,606.0,267.2,153.5,678.8,49.1,83.2482,-0.9293
1601.011,1167.566,-1515.717,,8136.8,1.8079,596.4,222.4,163.8,674.5,48.9,68.2278,-0.9300
1601.164,1167.658,-1509.354,,8441.0,1.7938,586.9,177.7,174.0,670.1,48.7,53.2074,-0.9308
1601.316,1167.751,-1502.990,,8754.4,1.7797,577.3,132.9,184.3,665.8,48.6,38.1871,-0.9316
1601.468,1167.843,-1496.626,,8983.2,1.7656,567.8,88.1,194.5,661.5,48.4,23.1668,-0.9323
1601.621,1167.936,-1490.262,,9104.2,1.7514,558.2,43.3,204.8,657.2,48.3,8.1466,-0.9331
1601.773,1168.028,-1483.892,,9213.9,1.7373,548.6,-1.5,215.0,652.8,48.1,-6.8736,-0.9338
1601.926,1168.121,-1477.517,,9392.0,1.7232,539.1,-46.3,225.3,648.5,47.9,-21.8939,-0.9346
1602.078,1168.213,-1471.139,,9504.1,1.7091,529.5,-91.1,235.6,644.2,47.8,-36.9143,-0.9353
