DEPT,TWT,amp,AI_Log,Int,D2,Quadr,TraceGrad,GradMag,Freq,Phase,CosPhase,AI_Jason_inv
1594.9,1163.9,-377.3,8706,2.44,414.8,1771.5,-431.5,1458.7,52.7,101.9709,-0.1919,
1595.1,1164,-431.2,8462,2.43,434,1746.7,-413.4,1442.8,52.6,103.7436,-0.221,
1595.2,1164.1,-485.1,8260,2.42,453.1,1722,-395.3,1426.8,52.6,105.5163,-0.25,
1595.4,1164.1,-538.9,8166,2.41,472.3,1697.3,-377.2,1410.9,52.5,107.2889,-0.2791,
1595.5,1164.2,-592.8,8183,2.4,491.5,1672.6,-359.1,1394.9,52.5,109.0614,-0.3082,
1595.7,1164.3,-646.7,8053,2.39,510.6,1647.9,-341,1379,52.4,110.8341,-0.3372,
1595.8,1164.4,-700.6,7873,2.38,529.8,1623.2,-322.9,1363,52.4,112.6069,-0.3663,
1596,1164.5,-754.4,7674,2.37,548.9,1598.5,-304.8,1347.1,52.3,114.3797,-0.3954,
1596.1,1164.6,-808.3,7499,2.35,568.1,1573.8,-286.7,1331.2,52.3,116.1526,-0.4245,
1596.3,1164.7,-862.2,7377,2.34,587.2,1549.1,-268.6,1315.2,52.2,117.9258,-0.4535,
1596.4,1164.8,-916.2,7285,2.33,606.4,1524.4,-250.5,1299.3,52.2,119.6992,-0.4826,
1596.6,1164.9,-970.1,7253,2.32,625.6,1499.7,-232.4,1283.4,52.1,121.4726,-0.5117,
1596.7,1165,-1022.4,7268,2.31,644.7,1475,-214.3,1267.5,52.1,123.2459,-0.5408,
1596.9,1165.1,-1055.4,7337,2.29,649.7,1435.1,-199,1244,52,124.9527,-0.5611,
1597,1165.2,-1079.3,7408,2.27,650,1390.2,-184.7,1218,51.9,126.6374,-0.5786,
1597.2,1165.3,-1103.2,7551,2.25,650.2,1345.2,-170.3,1192,51.8,128.3222,-0.596,
1597.4,1165.3,-1127,7685,2.23,650.5,1300.3,-155.9,1165.9,51.7,130.0068,-0.6135,
1597.5,1165.4,-1150.9,7732,2.22,650.7,1255.3,-141.5,1139.9,51.6,131.6914,-0.6309,
1597.7,1165.5,-1174.8,7706,2.2,650.9,1210.4,-127.2,1113.9,51.5,133.3761,-0.6483,
